Property SOLD,Location,Property Type,Price (AED),Price/sqft (AED),Built-up Area (sqft),Beds
27-Jul-21,29 BLVD T1,Apartment,"1,055,000","1,244",848,1 Bed
6-May-21,29 BLVD T1,Apartment,"1,165,000","1,456",800,1 Bed
14-Apr-21,29 BLVD T1,Apartment,"1,520,000","1,412","1,077",1 Bed
1-Mar-21,29 BLVD T1,Apartment,"950,000","1,187",800,1 Bed
22-Feb-21,29 BLVD T1,Apartment,"665,000",832,799,1 Bed
14-Jan-21,29 BLVD T1,Apartment,"1,230,000","1,533",802,1 Bed
14-Jan-21,29 BLVD T1,Apartment,"950,000","1,189",799,1 Bed
14-Jan-21,29 BLVD T1,Apartment,"1,072,500","1,342",799,1 Bed
14-Jan-21,29 BLVD T1,Apartment,"1,320,000","1,663",794,1 Bed
20-Oct-20,29 BLVD T1,Apartment,"1,000,000","1,196",836,1 Bed
4-Oct-20,29 BLVD T1,Apartment,"1,600,000","1,472","1,087",1 Bed
27-Sep-20,29 BLVD T1,Apartment,"970,000","1,222",794,1 Bed
24-Aug-20,29 BLVD T1,Apartment,"1,000,000","1,252",799,1 Bed
13-Aug-20,29 BLVD T1,Apartment,"900,000","1,061",848,1 Bed
13-Aug-20,29 BLVD T1,Apartment,"850,000","1,002",848,1 Bed
17-Feb-20,29 BLVD T1,Apartment,"1,250,000","1,495",836,1 Bed
4-Feb-20,29 BLVD T1,Apartment,"1,175,000","1,297",906,1 Bed
26-Jan-20,29 BLVD T1,Apartment,"1,000,000","1,196",836,1 Bed
9-Jan-20,29 BLVD T1,Apartment,"1,450,000","1,812",800,1 Bed
9-Jan-20,29 BLVD T1,Apartment,"2,300,000","2,285","1,007",1 Bed
9-Jan-20,29 BLVD T1,Apartment,"1,500,000","1,794",836,1 Bed
9-Jan-20,29 BLVD T1,Apartment,"1,450,000","1,827",794,1 Bed
9-Jan-20,29 BLVD T1,Apartment,"2,300,000","2,247","1,023",1 Bed
9-Jan-20,29 BLVD T1,Apartment,"1,500,000","1,790",838,1 Bed
8-Dec-19,29 BLVD T1,Apartment,"1,700,000","1,564","1,087",1 Bed
28-Oct-19,29 BLVD T1,Apartment,"1,000,000","1,194",838,1 Bed
20-Oct-19,29 BLVD T1,Apartment,"1,591,888","1,992",799,1 Bed
11-Sep-19,29 BLVD T1,Apartment,"1,125,000","1,287",874,1 Bed
8-Sep-19,29 BLVD T1,Apartment,"960,000","1,202",799,1 Bed
28-Jul-19,29 BLVD T1,Apartment,"900,000","1,134",794,1 Bed
15-Jul-19,29 BLVD T1,Apartment,"1,050,000","1,253",838,1 Bed
2-May-19,29 BLVD T1,Apartment,"1,125,000","1,408",799,1 Bed
2-May-19,29 BLVD T1,Apartment,"1,125,000","1,460",770,1 Bed
2-May-19,29 BLVD T1,Apartment,"1,125,000","1,408",799,1 Bed
2-May-19,29 BLVD T1,Apartment,"1,055,000","1,259",838,1 Bed
2-May-19,29 BLVD T1,Apartment,"1,300,000","1,231","1,056",1 Bed
25-Apr-19,29 BLVD T1,Apartment,"1,260,000","1,507",836,1 Bed
25-Apr-19,29 BLVD T1,Apartment,"1,260,000","1,507",836,1 Bed
14-Feb-19,29 BLVD T1,Apartment,"1,200,000","1,136","1,056",1 Bed
10-Nov-18,29 BLVD T1,Apartment,"1,185,000","1,493",794,1 Bed
15-Oct-18,29 BLVD T1,Apartment,"1,200,000","1,501",799,1 Bed
14-Aug-18,29 BLVD T1,Apartment,"1,300,000","1,551",838,1 Bed
30-Jul-18,29 BLVD T1,Apartment,"1,260,000","1,636",770,1 Bed
13-May-18,29 BLVD T1,Apartment,"1,138,656","1,425",799,1 Bed
12-Apr-18,29 BLVD T1,Apartment,"1,450,000","1,734",836,1 Bed
12-Apr-18,29 BLVD T1,Apartment,"1,450,000","1,827",794,1 Bed
19-Mar-18,29 BLVD T1,Apartment,"1,400,000","1,764",794,1 Bed
18-Mar-18,29 BLVD T1,Apartment,"1,622,888","1,936",838,1 Bed
12-Mar-18,29 BLVD T1,Apartment,"1,700,000","2,033",836,1 Bed
28-Feb-18,29 BLVD T1,Apartment,"1,700,000","2,033",836,1 Bed
21-Feb-18,29 BLVD T1,Apartment,"1,337,100","1,685",794,1 Bed
8-Nov-17,29 BLVD T1,Apartment,"1,750,000","2,033",861,1 Bed
4-Oct-17,29 BLVD T1,Apartment,"2,300,000","1,991","1,155",1 Bed
25-Sep-17,29 BLVD T1,Apartment,"1,650,000","1,968",838,1 Bed
16-Jul-17,29 BLVD T1,Apartment,"1,950,000","2,332",836,1 Bed
10-Jul-17,29 BLVD T1,Apartment,"1,650,000","1,973",836,1 Bed
6-Jun-17,29 BLVD T1,Apartment,"1,538,506","1,926",799,1 Bed
29-May-17,29 BLVD T1,Apartment,"1,350,000","1,701",794,1 Bed
19-Apr-17,29 BLVD T1,Apartment,"1,785,000","2,135",836,1 Bed
2-Mar-17,29 BLVD T1,Apartment,"1,770,000","2,111",838,1 Bed
31-Jan-17,29 BLVD T1,Apartment,"1,700,000","2,028",838,1 Bed
5-Jan-17,29 BLVD T1,Apartment,"2,750,000","2,529","1,087",1 Bed
21-Nov-16,29 BLVD T1,Apartment,"1,950,000","2,332",836,1 Bed
27-Oct-16,29 BLVD T1,Apartment,"1,885,000","1,784","1,056",1 Bed
27-Jun-16,29 BLVD T1,Apartment,"1,673,500","1,997",838,1 Bed
20-Jun-16,29 BLVD T1,Apartment,"1,600,000","2,077",770,1 Bed
2-May-16,29 BLVD T1,Apartment,"1,650,000","1,969",838,1 Bed
28-Feb-16,29 BLVD T1,Apartment,"2,500,000","2,322","1,077",1 Bed
28-Dec-15,29 BLVD T1,Apartment,"1,901,888","1,800","1,056",1 Bed
16-Dec-15,29 BLVD T1,Apartment,"1,640,000","2,129",770,1 Bed
29-Oct-15,29 BLVD T1,Apartment,"1,750,000","2,190",799,1 Bed
12-Oct-15,29 BLVD T1,Apartment,"3,285,000","2,843","1,155",1 Bed
8-Sep-15,29 BLVD T1,Apartment,"1,730,000","2,179",794,1 Bed
8-Jul-15,29 BLVD T1,Apartment,"2,150,000","1,977","1,087",1 Bed
3-Jun-15,29 BLVD T1,Apartment,"3,350,000","2,899","1,155",1 Bed
26-Apr-15,29 BLVD T1,Apartment,"2,100,000","2,618",802,1 Bed
2-Apr-15,29 BLVD T1,Apartment,"1,700,000","2,028",838,1 Bed
19-Mar-15,29 BLVD T1,Apartment,"1,875,000","2,243",836,1 Bed
8-Mar-15,29 BLVD T1,Apartment,"1,700,000","2,128",799,1 Bed
18-Feb-15,29 BLVD T1,Apartment,"1,564,888","1,959",799,1 Bed
17-Feb-15,29 BLVD T1,Apartment,"1,469,888","1,840",799,1 Bed
27-Jan-15,29 BLVD T1,Apartment,"2,100,000","2,618",802,1 Bed
21-Jan-15,29 BLVD T1,Apartment,"3,050,000","2,640","1,155",1 Bed
28-Dec-14,29 BLVD T1,Apartment,"2,185,888","1,892","1,155",1 Bed
30-Nov-14,29 BLVD T1,Apartment,"3,300,000","2,856","1,155",1 Bed
23-Nov-14,29 BLVD T1,Apartment,"2,100,000","2,512",836,1 Bed
19-Nov-14,29 BLVD T1,Apartment,"1,898,888","1,798","1,056",1 Bed
29-Oct-14,29 BLVD T1,Apartment,"1,650,000","2,057",802,1 Bed
26-Oct-14,29 BLVD T1,Apartment,"3,050,000","2,640","1,155",1 Bed
14-Oct-14,29 BLVD T1,Apartment,"1,593,888","2,069",770,1 Bed
12-Oct-14,29 BLVD T1,Apartment,"1,425,000","1,704",836,1 Bed
7-Oct-14,29 BLVD T1,Apartment,"1,420,888","1,778",799,1 Bed
2-Oct-14,29 BLVD T1,Apartment,"3,400,000","2,943","1,155",1 Bed
26-Aug-14,29 BLVD T1,Apartment,"3,400,000","2,943","1,155",1 Bed
25-Aug-14,29 BLVD T1,Apartment,"1,935,000","2,475",782,1 Bed
26-Jun-14,29 BLVD T1,Apartment,"1,564,888","1,972",794,1 Bed
22-Jun-14,29 BLVD T1,Apartment,"1,682,837","2,013",836,1 Bed
22-Jun-14,29 BLVD T1,Apartment,"1,642,507","2,070",794,1 Bed
22-Jun-14,29 BLVD T1,Apartment,"1,656,677","1,977",838,1 Bed
22-Jun-14,29 BLVD T1,Apartment,"1,937,897","1,894","1,023",1 Bed
22-Jun-14,29 BLVD T1,Apartment,"1,642,507","2,052",800,1 Bed
16-Jun-14,29 BLVD T1,Apartment,"1,950,000","2,431",802,1 Bed
12-Jun-14,29 BLVD T1,Apartment,"2,150,000","2,791",770,1 Bed
27-May-14,29 BLVD T1,Apartment,"2,025,000","2,536",798,1 Bed
26-May-14,29 BLVD T1,Apartment,"1,982,888","1,877","1,056",1 Bed
26-May-14,29 BLVD T1,Apartment,"1,800,000","2,268",794,1 Bed
19-May-14,29 BLVD T1,Apartment,"3,025,000","2,618","1,155",1 Bed
14-May-14,29 BLVD T1,Apartment,"1,515,888","1,899",798,1 Bed
13-May-14,29 BLVD T1,Apartment,"2,000,000","2,520",794,1 Bed
12-May-14,29 BLVD T1,Apartment,"2,250,000","2,835",794,1 Bed
5-May-14,29 BLVD T1,Apartment,"2,000,000","2,520",794,1 Bed
4-May-14,29 BLVD T1,Apartment,"2,200,000","2,625",838,1 Bed
30-Apr-14,29 BLVD T1,Apartment,"1,526,888","1,826",836,1 Bed
24-Apr-14,29 BLVD T1,Apartment,"1,519,888","1,973",770,1 Bed
24-Apr-14,29 BLVD T1,Apartment,"1,535,888","1,994",770,1 Bed
21-Apr-14,29 BLVD T1,Apartment,"2,200,000","2,856",770,1 Bed
15-Apr-14,29 BLVD T1,Apartment,"3,400,000","3,158","1,077",1 Bed
14-Apr-14,29 BLVD T1,Apartment,"1,759,888","2,203",799,1 Bed
10-Apr-14,29 BLVD T1,Apartment,"1,950,000","2,327",838,1 Bed
8-Apr-14,29 BLVD T1,Apartment,"1,980,000","2,363",838,1 Bed
8-Apr-14,29 BLVD T1,Apartment,"1,980,000","2,363",838,1 Bed
7-Apr-14,29 BLVD T1,Apartment,"2,400,000","2,745",874,1 Bed
6-Apr-14,29 BLVD T1,Apartment,"2,065,000","2,602",794,1 Bed
2-Apr-14,29 BLVD T1,Apartment,"1,850,000","2,213",836,1 Bed
25-Mar-14,29 BLVD T1,Apartment,"1,574,888","1,879",838,1 Bed
23-Mar-14,29 BLVD T1,Apartment,"3,400,000","2,943","1,155",1 Bed
19-Mar-14,29 BLVD T1,Apartment,"1,909,557","1,897","1,007",1 Bed
19-Mar-14,29 BLVD T1,Apartment,"1,813,888","2,108",861,1 Bed
17-Mar-14,29 BLVD T1,Apartment,"1,511,888","1,889",800,1 Bed
12-Mar-14,29 BLVD T1,Apartment,"4,000,000","3,715","1,077",1 Bed
11-Mar-14,29 BLVD T1,Apartment,"1,324,888","1,562",848,1 Bed
11-Mar-14,29 BLVD T1,Apartment,"1,462,888","1,746",838,1 Bed
8-Mar-14,29 BLVD T1,Apartment,"2,000,000","2,392",836,1 Bed
6-Mar-14,29 BLVD T1,Apartment,"1,457,888","1,837",794,1 Bed
6-Mar-14,29 BLVD T1,Apartment,"1,513,888","1,806",838,1 Bed
3-Mar-14,29 BLVD T1,Apartment,"1,512,888","1,810",836,1 Bed
25-Feb-14,29 BLVD T1,Apartment,"1,825,000","2,300",794,1 Bed
24-Feb-14,29 BLVD T1,Apartment,"1,429,888","1,706",838,1 Bed
23-Feb-14,29 BLVD T1,Apartment,"2,144,888","1,857","1,155",1 Bed
20-Feb-14,29 BLVD T1,Apartment,"1,449,888","1,827",794,1 Bed
20-Feb-14,29 BLVD T1,Apartment,"2,000,000","2,520",794,1 Bed
19-Feb-14,29 BLVD T1,Apartment,"1,330,000","1,587",838,1 Bed
17-Feb-14,29 BLVD T1,Apartment,"3,500,000","3,029","1,155",1 Bed
17-Feb-14,29 BLVD T1,Apartment,"2,444,888","2,116","1,155",1 Bed
16-Feb-14,29 BLVD T1,Apartment,"1,449,888","1,815",799,1 Bed
16-Feb-14,29 BLVD T1,Apartment,"1,537,888","1,839",836,1 Bed
12-Feb-14,29 BLVD T1,Apartment,"2,500,000","2,759",906,1 Bed
11-Feb-14,29 BLVD T1,Apartment,"1,570,000","1,978",794,1 Bed
9-Feb-14,29 BLVD T1,Apartment,"2,650,000","2,294","1,155",1 Bed
9-Feb-14,29 BLVD T1,Apartment,"1,502,888","1,894",794,1 Bed
4-Feb-14,29 BLVD T1,Apartment,"1,207,888","1,512",799,1 Bed
2-Feb-14,29 BLVD T1,Apartment,"3,500,000","3,219","1,087",1 Bed
30-Jan-14,29 BLVD T1,Apartment,"1,750,000","2,205",794,1 Bed
27-Jan-14,29 BLVD T1,Apartment,"2,304,888","1,995","1,155",1 Bed
22-Jan-14,29 BLVD T1,Apartment,"2,400,000","2,229","1,077",1 Bed
22-Jan-14,29 BLVD T1,Apartment,"1,746,888","1,991",877,1 Bed
22-Jan-14,29 BLVD T1,Apartment,"1,730,000","2,160",801,1 Bed
21-Jan-14,29 BLVD T1,Apartment,"2,200,000","2,507",877,1 Bed
14-Jan-14,29 BLVD T1,Apartment,"2,384,888","2,064","1,155",1 Bed
14-Jan-14,29 BLVD T1,Apartment,"3,250,000","2,989","1,087",1 Bed
13-Jan-14,29 BLVD T1,Apartment,"1,750,000","2,190",799,1 Bed
11-Jan-14,29 BLVD T1,Apartment,"2,500,000","2,299","1,087",1 Bed
9-Jan-14,29 BLVD T1,Apartment,"1,800,000","2,268",794,1 Bed
8-Jan-14,29 BLVD T1,Apartment,"1,464,888","1,846",794,1 Bed
7-Jan-14,29 BLVD T1,Apartment,"1,583,888","2,056",770,1 Bed
7-Jan-14,29 BLVD T1,Apartment,"2,850,000","2,467","1,155",1 Bed
6-Jan-14,29 BLVD T1,Apartment,"2,700,000","2,483","1,087",1 Bed
5-Jan-14,29 BLVD T1,Apartment,"1,800,000","2,244",802,1 Bed
30-Dec-13,29 BLVD T1,Apartment,"1,960,000","2,344",836,1 Bed
25-Dec-13,29 BLVD T1,Apartment,"3,050,000","2,640","1,155",1 Bed
22-Dec-13,29 BLVD T1,Apartment,"3,100,000","2,683","1,155",1 Bed
22-Dec-13,29 BLVD T1,Apartment,"1,750,000","2,088",838,1 Bed
22-Dec-13,29 BLVD T1,Apartment,"1,785,000","2,249",794,1 Bed
19-Dec-13,29 BLVD T1,Apartment,"1,950,000","2,431",802,1 Bed
18-Dec-13,29 BLVD T1,Apartment,"1,446,888","1,823",794,1 Bed
17-Dec-13,29 BLVD T1,Apartment,"1,535,888","1,935",794,1 Bed
16-Dec-13,29 BLVD T1,Apartment,"2,975,000","2,763","1,077",1 Bed
16-Dec-13,29 BLVD T1,Apartment,"1,850,000","2,401",770,1 Bed
15-Dec-13,29 BLVD T1,Apartment,"1,514,888","1,889",802,1 Bed
15-Dec-13,29 BLVD T1,Apartment,"1,589,888","2,003",794,1 Bed
15-Dec-13,29 BLVD T1,Apartment,"1,950,000","2,531",770,1 Bed
15-Dec-13,29 BLVD T1,Apartment,"1,456,888","1,742",836,1 Bed
11-Dec-13,29 BLVD T1,Apartment,"2,950,000","2,553","1,155",1 Bed
11-Dec-13,29 BLVD T1,Apartment,"2,254,419","2,094","1,077",1 Bed
8-Dec-13,29 BLVD T1,Apartment,"2,190,888","2,015","1,087",1 Bed
8-Dec-13,29 BLVD T1,Apartment,"1,546,888","1,707",906,1 Bed
3-Dec-13,29 BLVD T1,Apartment,"1,410,000","1,682",838,1 Bed
3-Dec-13,29 BLVD T1,Apartment,"2,199,888","1,904","1,155",1 Bed
18-Nov-13,29 BLVD T1,Apartment,"2,300,000","2,672",861,1 Bed
14-Nov-13,29 BLVD T1,Apartment,"1,610,000","2,029",794,1 Bed
7-Nov-13,29 BLVD T1,Apartment,"1,645,888","1,912",861,1 Bed
4-Nov-13,29 BLVD T1,Apartment,"1,905,888","1,770","1,077",1 Bed
28-Oct-13,29 BLVD T1,Apartment,"2,950,000","2,554","1,155",1 Bed
28-Oct-13,29 BLVD T1,Apartment,"1,407,888","1,680",838,1 Bed
7-Oct-13,29 BLVD T1,Apartment,"1,561,888","1,955",799,1 Bed
7-Oct-13,29 BLVD T1,Apartment,"1,466,888","1,730",848,1 Bed
7-Oct-13,29 BLVD T1,Apartment,"1,546,888","1,846",838,1 Bed